RowNumber,CustomerId,Apellido,CreditScore,Pais,Genero,Edad,Estadia,Balance,Numero de productos,Tiene tarjeta de crédito,Activo,EstimatedSalary,Salida,Queja,Nivel satisfacción,Tipo de tarjeta,Puntos ganados
128.0,15782688,Piccio,625,Alemania,Hombre,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410
133.0,15677871,Cocci,687,Francia,Hombre,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
134.0,15642004,Alekseeva,686,Francia,Hombre,25,1,0.0,2,0,1,16459.37,0,0,1,DIAMOND,578
135.0,15712543,Chinweike,789,Alemania,Hombre,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
139.0,15594408,Chia,584,España,Mujer,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814
140.0,15640905,Vasin,579,España,Mujer,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247
141.0,15698932,Groves,756,Alemania,Hombre,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965
142.0,15724944,Tien,663,Francia,Hombre,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912
143.0,15628145,Forwood,682,Francia,Mujer,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462
144.0,15713483,Greeves,793,España,Hombre,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883
146.0,15800703,Madukwe,485,España,Mujer,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764
147.0,15705707,Bennelong,635,España,Mujer,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608
148.0,15754105,Olisanugo,650,Francia,Hombre,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652
149.0,15703264,Chukwufumnanya,735,Francia,Hombre,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520
150.0,15794413,Harris,416,Francia,Hombre,32,0,0.0,2,0,1,878.87,0,0,5,GOLD,884
151.0,15650237,Morgan,754,España,Mujer,32,7,0.0,2,1,0,89520.75,0,0,1,SILVER,800
152.0,15759618,Alexeeva,535,Francia,Mujer,48,9,0.0,1,1,0,149892.79,1,1,4,GOLD,697
153.0,15811589,Metcalfe,716,España,Hombre,42,8,0.0,2,1,0,180800.42,0,0,2,SILVER,427
154.0,15689044,Humphries,539,Francia,Hombre,37,2,127609.59,1,1,0,98646.22,0,0,1,DIAMOND,620
155.0,15709368,Milne,614,Francia,Mujer,43,6,0.0,2,1,1,109041.53,0,0,1,PLATINUM,318
156.0,15679145,Chou,706,España,Hombre,57,7,0.0,1,1,0,17941.16,1,1,1,GOLD,701
157.0,15655007,Li,758,Francia,Mujer,33,7,0.0,2,0,0,82996.47,0,0,4,PLATINUM,953
158.0,15623595,Clayton,586,España,Mujer,28,2,0.0,2,1,1,92067.35,0,0,5,PLATINUM,635
159.0,15589975,Maclean,646,Francia,Mujer,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250
163.0,15630910,Treacy,800,Francia,Mujer,49,7,108007.36,1,0,0,47125.11,0,0,3,PLATINUM,855
164.0,15680772,Hu,721,España,Mujer,36,2,0.0,2,1,1,106977.8,0,0,5,SILVER,534
165.0,15658929,Taverner,683,España,Hombre,29,0,133702.89,1,1,0,55582.54,1,1,1,PLATINUM,388
169.0,15574692,Pinto,667,España,Mujer,39,2,0.0,2,1,0,40721.24,1,1,5,PLATINUM,308
174.0,15586310,Ting,578,Francia,Hombre,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872
175.0,15625524,Rowe,512,Francia,Hombre,40,5,0.0,2,1,1,146457.83,0,0,3,DIAMOND,435
176.0,15755209,Fu,484,España,Mujer,35,7,133868.21,1,1,1,27286.1,0,0,2,SILVER,415
177.0,15645248,Ho,510,Francia,Mujer,30,0,0.0,2,1,1,130553.47,0,0,2,DIAMOND,430
178.0,15790355,Okechukwu,606,Alemania,Hombre,36,5,190479.48,2,0,0,179351.89,0,0,5,PLATINUM,929
180.0,15625426,Ashbolt,754,Alemania,Mujer,55,3,161608.81,1,1,0,8080.85,1,1,4,GOLD,810
181.0,15716334,Rozier,850,España,Mujer,45,2,122311.21,1,1,1,19482.5,0,0,5,GOLD,739
182.0,15789669,Hsia,510,Francia,Hombre,65,2,0.0,2,1,1,48071.61,0,0,1,SILVER,280
183.0,15621075,Ogbonnaya,778,Alemania,Mujer,45,1,162150.42,2,1,0,174531.27,0,0,2,DIAMOND,250
187.0,15771977,T'ao,730,Francia,Mujer,39,1,99010.67,1,1,0,194945.8,0,0,5,GOLD,260
188.0,15708710,Ford,525,España,Mujer,37,0,0.0,1,0,1,131521.72,0,0,5,SILVER,642
190.0,15587421,Tsai,687,Alemania,Mujer,34,7,111388.18,2,1,0,148564.76,0,0,4,GOLD,570
192.0,15771086,Graham,512,Francia,Mujer,36,3,84327.77,2,1,0,17675.36,0,0,5,PLATINUM,727
193.0,15756850,Golovanov,479,Francia,Hombre,40,1,0.0,2,0,0,114996.43,0,0,3,SILVER,909
194.0,15702741,Potts,601,Francia,Hombre,32,8,93012.89,1,1,0,86957.42,0,0,2,GOLD,799
197.0,15635905,Moran,616,España,Mujer,32,6,0.0,2,1,1,43001.46,0,0,5,GOLD,512
198.0,15777892,Samsonova,721,Alemania,Hombre,37,3,107720.64,1,1,1,158591.12,0,0,1,PLATINUM,478
199.0,15656176,Jenkins,501,Francia,Hombre,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
200.0,15811127,Volkov,521,Francia,Hombre,35,6,96423.84,1,1,0,10488.44,0,0,4,PLATINUM,280
201.0,15604482,Chiemezie,850,España,Hombre,30,2,141040.01,1,1,1,5978.2,0,0,2,DIAMOND,615
202.0,15622911,Jude,759,Francia,Hombre,42,4,105420.18,1,0,1,121409.06,0,0,3,GOLD,435
203.0,15600974,He,516,España,Hombre,50,5,0.0,1,0,1,146145.93,1,1,5,GOLD,509
206.0,15773039,Ku,550,Francia,Hombre,37,3,0.0,1,1,1,179670.31,0,0,3,GOLD,516
207.0,15755262,McDonald,608,España,Mujer,41,3,89763.84,1,0,0,199304.74,1,1,3,PLATINUM,639
208.0,15679531,Collins,618,Francia,Hombre,34,5,134954.53,1,1,1,151954.39,0,0,2,SILVER,512
211.0,15752047,Trevisano,689,Alemania,Hombre,33,2,161814.64,2,1,0,169381.9,0,0,3,PLATINUM,292
212.0,15624592,Tan,603,Francia,Hombre,31,8,0.0,2,1,1,169915.02,0,0,3,GOLD,245
213.0,15573152,Glassman,620,Francia,Mujer,41,9,0.0,2,0,0,88852.47,0,0,3,DIAMOND,848
215.0,15785542,Kornilova,572,Alemania,Hombre,26,4,118287.01,2,0,0,60427.3,0,0,4,DIAMOND,958
217.0,15680920,Marchesi,695,Francia,Hombre,46,7,49512.55,1,1,0,133007.34,0,0,3,DIAMOND,310
218.0,15786308,Millar,730,España,Mujer,33,9,0.0,2,0,0,176576.62,0,0,1,SILVER,621
219.0,15659366,Shih,807,Francia,Hombre,43,1,105799.32,2,1,0,34888.04,1,1,4,DIAMOND,924
220.0,15774854,Fuller,592,Francia,Hombre,54,8,0.0,1,1,1,28737.71,1,1,2,PLATINUM,359
221.0,15725311,Hay,726,Francia,Mujer,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811
222.0,15787155,Yang,514,España,Hombre,30,7,0.0,1,0,1,125010.24,0,0,4,DIAMOND,583
223.0,15727829,McIntyre,567,Francia,Hombre,42,2,0.0,2,1,1,167984.61,0,0,5,SILVER,959
224.0,15733247,Stevenson,850,Francia,Hombre,33,10,0.0,1,1,0,4861.72,1,1,1,SILVER,359
227.0,15774393,Ch'ien,694,Francia,Mujer,30,9,0.0,2,1,1,26960.31,0,0,5,DIAMOND,829
228.0,15676895,Cattaneo,547,Alemania,Mujer,39,6,74596.15,3,1,1,85746.52,1,1,4,SILVER,790
230.0,15605461,Lucas,594,Alemania,Mujer,29,3,130830.22,1,1,0,61048.53,0,0,4,GOLD,873
231.0,15808473,Ringrose,673,Francia,Hombre,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865
232.0,15627000,Freeman,610,Francia,Hombre,40,0,0.0,2,1,0,62232.6,0,0,5,GOLD,690
233.0,15787174,Sergeyev,512,Francia,Mujer,37,1,0.0,2,0,1,156105.03,0,0,4,PLATINUM,722
235.0,15704769,Smith,585,Francia,Mujer,67,5,113978.97,2,0,1,93146.11,0,0,5,SILVER,580
236.0,15772896,Dumetochukwu,763,Alemania,Hombre,42,6,100160.75,1,1,0,33462.94,1,1,3,GOLD,709
237.0,15711540,Pacheco,712,Francia,Mujer,29,2,0.0,1,1,1,144375.0,0,0,4,GOLD,930
242.0,15651001,Tsao,725,Alemania,Mujer,39,5,116803.8,1,1,0,124052.97,0,0,2,GOLD,763
244.0,15596175,McIntosh,659,Alemania,Hombre,67,6,117411.6,1,1,1,45071.09,1,1,2,SILVER,815
249.0,15657566,Wieck,634,Alemania,Hombre,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532
251.0,15628112,Hughes,771,Alemania,Mujer,36,5,77846.9,1,0,0,99805.99,0,0,5,PLATINUM,895
252.0,15753754,Morrison,587,España,Mujer,34,1,0.0,2,1,1,97932.68,0,0,4,DIAMOND,749
253.0,15793726,Matveyeva,681,Francia,Mujer,79,0,0.0,2,0,1,170968.99,0,0,5,DIAMOND,333
258.0,15592979,Rose,671,Alemania,Mujer,34,6,37266.67,2,0,0,156917.12,0,0,3,SILVER,565
260.0,15607178,Welch,850,Alemania,Hombre,38,3,54901.01,1,1,1,140075.55,0,0,2,GOLD,926
262.0,15673481,Morton,726,España,Mujer,48,6,99906.19,1,1,0,64323.24,0,0,4,DIAMOND,901
264.0,15673693,Reppert,682,Francia,Mujer,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
266.0,15813163,Ch'iu,531,España,Mujer,36,9,99240.51,1,1,0,123137.01,0,0,1,PLATINUM,717
267.0,15653857,Wallis,498,Francia,Hombre,34,2,0.0,2,1,1,148528.24,0,0,1,DIAMOND,549
268.0,15777076,Clark,651,Francia,Hombre,36,7,0.0,2,1,0,13898.31,0,0,1,GOLD,545
269.0,15717398,Fielding,549,España,Mujer,39,7,0.0,1,0,0,81259.25,1,1,2,GOLD,716
273.0,15796505,Boyle,811,Alemania,Mujer,34,1,149297.19,2,1,1,186339.74,0,0,2,GOLD,946
274.0,15725166,Newton,707,Francia,Hombre,30,8,0.0,2,1,0,33159.37,0,0,5,GOLD,402
275.0,15800116,Bowman,712,Alemania,Hombre,28,4,145605.44,1,0,1,93883.53,0,0,3,PLATINUM,465
276.0,15758685,Dubinina,706,España,Mujer,37,7,0.0,2,1,1,110899.3,0,0,1,GOLD,799
279.0,15683562,Allen,646,Francia,Hombre,35,6,84026.86,1,0,1,164255.69,0,0,3,SILVER,635
281.0,15668893,Wilsmore,782,Francia,Hombre,39,8,0.0,2,1,1,33949.67,0,0,3,PLATINUM,424
283.0,15643024,Huang,479,Alemania,Hombre,35,4,138718.92,1,1,1,47251.79,1,1,1,GOLD,751
284.0,15699389,Ch'ien,807,Francia,Hombre,42,7,118274.71,1,1,1,25885.72,0,0,3,DIAMOND,899
285.0,15708608,Wallwork,799,Francia,Mujer,22,8,174185.98,2,0,1,192633.85,0,0,3,PLATINUM,219
287.0,15573112,Kang,602,España,Hombre,29,5,103907.28,1,1,0,161229.84,0,0,2,SILVER,861
288.0,15790678,Davidson,475,Francia,Mujer,32,8,119023.28,1,1,0,100816.29,0,0,1,PLATINUM,278
291.0,15652266,Chidiebele,703,Alemania,Hombre,42,9,63227.0,1,0,1,137316.32,0,0,3,SILVER,301
292.0,15607098,Ahmed,747,España,Mujer,41,5,94521.17,2,1,0,194926.86,0,0,1,DIAMOND,806
294.0,15590241,Chuang,750,España,Mujer,34,9,112822.26,1,0,0,150401.53,1,1,2,PLATINUM,563
295.0,15785819,Shao,681,Francia,Hombre,38,3,0.0,2,1,1,112491.96,0,0,1,DIAMOND,861
296.0,15723654,Tsao,773,Francia,Hombre,25,2,135903.33,1,1,0,73656.38,0,0,4,PLATINUM,790
298.0,15684173,Chang,687,España,Mujer,44,7,0.0,3,1,0,155853.52,1,1,2,SILVER,336
299.0,15650068,Johnson,511,Francia,Hombre,58,0,149117.31,1,1,1,162599.51,0,0,1,GOLD,517
300.0,15811490,French,627,Francia,Hombre,33,5,0.0,2,1,1,103737.82,0,0,4,PLATINUM,499
302.0,15682541,Hartley,616,España,Mujer,36,6,132311.71,1,0,0,15462.84,0,0,2,SILVER,268
303.0,15695699,Calabrese,687,Francia,Hombre,35,8,0.0,2,1,0,10334.05,0,0,5,PLATINUM,809
307.0,15594898,Hewitt,731,Francia,Hombre,43,2,0.0,1,1,1,170034.95,1,1,2,DIAMOND,777
309.0,15773972,Balashov,614,Francia,Hombre,50,4,137104.47,1,1,0,127166.49,1,1,1,DIAMOND,958
310.0,15746726,Doyle,438,Alemania,Hombre,31,8,78398.69,1,1,0,44937.01,0,0,4,PLATINUM,809
311.0,15712287,Pokrovskii,652,Francia,Mujer,80,4,0.0,2,1,1,188603.07,0,0,1,GOLD,662
312.0,15702919,Collins,729,Alemania,Hombre,30,6,63669.42,1,1,0,145111.37,0,0,2,GOLD,484
313.0,15674398,Russo,642,Francia,Hombre,38,3,0.0,2,0,0,171463.83,0,0,2,GOLD,737
314.0,15797960,Skinner,806,Alemania,Mujer,59,0,135296.33,1,1,0,182822.5,0,0,1,SILVER,486
315.0,15631868,Robertson,744,España,Hombre,36,2,153804.44,1,1,1,87213.33,0,0,3,SILVER,252
316.0,15581539,Atkinson,474,España,Hombre,37,3,0.0,2,0,0,57175.32,0,0,4,SILVER,275
317.0,15662736,Doyle,559,Francia,Hombre,49,2,147069.78,1,1,0,120540.83,1,1,1,DIAMOND,245
320.0,15626114,Pearson,429,Francia,Hombre,24,4,95741.75,1,1,0,46170.75,0,0,2,GOLD,352
321.0,15810834,Gordon,525,España,Mujer,57,2,145965.33,1,1,1,64448.36,0,0,5,PLATINUM,337
322.0,15678910,Ts'ai,680,Francia,Mujer,30,8,141441.75,1,1,1,16278.97,0,0,1,SILVER,597
323.0,15694408,Lung,749,Francia,Hombre,40,1,139290.41,1,1,0,182855.42,1,1,1,SILVER,381
324.0,15585215,Yuan,763,Francia,Mujer,31,4,0.0,2,0,0,50404.72,0,0,3,PLATINUM,668
325.0,15682757,Pardey,734,Francia,Hombre,30,3,0.0,2,1,0,107640.25,0,0,4,DIAMOND,245
327.0,15601848,Scott,594,Francia,Hombre,35,2,0.0,2,1,0,103480.69,0,0,4,DIAMOND,378
328.0,15736008,Hunter,644,Francia,Mujer,46,9,95441.27,1,1,0,108761.05,1,1,1,SILVER,568
329.0,15669064,Mazzanti,671,Alemania,Hombre,35,1,144848.74,1,1,1,179012.3,0,0,5,PLATINUM,731
331.0,15598493,Beach,656,Francia,Hombre,50,7,0.0,2,0,1,72143.44,0,0,1,GOLD,829
332.0,15601274,Hsieh,667,España,Mujer,40,1,146502.07,1,1,0,19162.89,0,0,3,DIAMOND,230
333.0,15702669,Faulkner,663,Alemania,Hombre,44,2,117028.6,2,0,1,144680.18,0,0,4,DIAMOND,919
335.0,15742668,Day,626,España,Mujer,37,6,108269.37,1,1,0,5597.94,0,0,2,DIAMOND,457
336.0,15697441,Hsueh,485,Francia,Hombre,29,7,182123.79,1,1,0,116828.51,1,1,4,GOLD,583
337.0,15740476,Tsao,659,Alemania,Mujer,32,3,150923.74,2,0,1,174652.51,0,0,2,PLATINUM,849
338.0,15648064,Kennedy,649,Francia,Hombre,33,2,0.0,2,1,0,2010.98,0,0,3,DIAMOND,720
339.0,15636624,Nwabugwu,805,España,Mujer,39,5,165272.13,1,1,0,14109.85,1,1,3,SILVER,317
342.0,15786170,Tien,659,Francia,Hombre,31,4,118342.26,1,0,0,161574.19,0,0,3,SILVER,391
343.0,15681081,Marrero,545,España,Mujer,47,5,0.0,2,1,1,38970.14,0,0,4,PLATINUM,373
344.0,15684484,White,543,Francia,Hombre,22,8,0.0,2,0,0,127587.22,0,0,3,PLATINUM,251
345.0,15785869,Pisano,718,Francia,Mujer,25,7,0.0,2,1,0,30380.12,0,0,2,PLATINUM,237
346.0,15763859,Brown,840,Francia,Mujer,43,7,0.0,2,1,0,90908.95,0,0,2,SILVER,645
347.0,15658935,Freeman,630,Alemania,Mujer,34,9,106937.05,2,1,0,138275.01,0,0,3,SILVER,624
349.0,15735203,Seleznyov,654,Alemania,Mujer,32,1,114510.85,1,1,1,126143.23,0,0,4,GOLD,224
351.0,15659420,Foley,659,España,Hombre,32,3,107594.11,2,1,1,102416.84,0,0,3,DIAMOND,683
352.0,15593365,Shih,762,España,Hombre,39,2,81273.13,1,1,1,18719.67,0,0,5,GOLD,929
356.0,15739438,Reed,539,Francia,Hombre,30,0,0.0,2,1,0,160979.66,0,0,4,DIAMOND,231
358.0,15661629,Ricci,522,España,Hombre,34,9,126436.29,1,1,0,174248.52,1,1,3,GOLD,973
359.0,15633950,Yen,737,Francia,Hombre,41,1,101960.74,1,1,1,123547.28,0,0,5,SILVER,463
360.0,15592386,Campbell,520,Francia,Hombre,58,3,0.0,2,0,1,32790.02,0,0,5,DIAMOND,253
362.0,15696674,Robinson,643,Alemania,Mujer,45,2,150842.93,1,0,1,2319.96,1,1,5,PLATINUM,537
363.0,15706365,Bianchi,648,Francia,Mujer,50,9,102535.57,1,1,1,189543.19,0,0,5,DIAMOND,332
364.0,15745088,Chen,443,Alemania,Mujer,29,9,99027.61,2,1,0,10940.4,0,0,5,PLATINUM,390
367.0,15633537,Nolan,540,Alemania,Mujer,42,9,87271.41,2,1,0,172572.64,0,0,1,PLATINUM,978
368.0,15594720,Scott,460,Alemania,Mujer,35,8,102742.91,2,1,1,189339.6,0,0,5,DIAMOND,366
372.0,15774696,Cole,640,Alemania,Mujer,75,1,106307.91,2,0,1,113428.77,0,0,2,PLATINUM,703
373.0,15694506,Briggs,611,Alemania,Hombre,31,0,107884.81,2,1,1,183487.98,0,0,2,DIAMOND,388
374.0,15688074,Gregory,802,Alemania,Hombre,31,1,125013.72,1,1,1,187658.09,0,0,2,DIAMOND,579
375.0,15759537,Bianchi,717,Alemania,Hombre,35,7,58469.37,2,1,1,172459.39,0,0,2,GOLD,793
377.0,15583456,Gardiner,745,Alemania,Hombre,45,10,117231.63,3,1,1,122381.02,1,1,2,GOLD,291
378.0,15667871,Kerr,572,España,Hombre,35,4,152390.26,1,1,0,128123.66,0,0,4,GOLD,951
